,Superficie total,Superficie construida,Recámaras,Baños,Estacionamientos,Cantidad de pisos,Antigüedad,Orientación,Precio,URl,ubicacion,Ambientes,Tipo de propiedad,Cuota mensual de mantenimiento,Tipo de casa,Bodegas
0,97 m²,97 m²,2,2,1,2,7 años,,"5,000",https://casa.mercadolibre.com.mx/MLM-1302381498-casa-renta-paseos-de-la-fragua-equipada-norte-leon-gto-_JM#position=29&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1541677%2C-101.7435508&zoom=16&size=732x300&signature=f1FaHpm60bA-W_kIp_Pulmrg8cA=,,,0 MXN,,
0,90 m²,,3,2,1,2,0 años,,"5,500",https://casa.mercadolibre.com.mx/MLM-1301910783-casa-nueva-y-en-esquina-fraccionamiento-heroes-de-leon-leon-gto-_JM#position=30&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.0687373%2C-101.5665691&zoom=16&size=732x300&signature=rBV2vCwVBaO100fikcepe7N9bZk=,,,250 MXN,,
0,750 m²,,4,4,3,3,0 años,,"23,500",https://casa.mercadolibre.com.mx/MLM-1301911603-residencia-en-renta-porta-fontana-roof-garden-360-leon-gto-_JM#position=31&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1876902%2C-101.7082752&zoom=16&size=732x300&signature=ne5mHRxWtFIrR2rpWLabjT7xx4o=,,,550 MXN,,
0,81 m²,,2,1,1,2,3 años,,"6,000",https://casa.mercadolibre.com.mx/MLM-1302456385-casa-en-renta-privada-con-alberca-fracc-cordillera-leon-gto-zona-norte-_JM#position=32&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.177856%2C-101.7517535&zoom=16&size=732x300&signature=fW9YrSFYPAylmUj5RZ5Yf819Uec=,,,450 MXN,,
0,120 m²,,3,3,1,3,5 años,,"9,000",https://casa.mercadolibre.com.mx/MLM-1301959016-casa-en-renta-3-recamaras-y-3-banos-fracc-cordillera-leon-gto-con-roof-garden-_JM#position=33&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1768755%2C-101.7535881&zoom=16&size=732x300&signature=NpBy_kR6sMxbFeQZYuHfXtMZvqw=,,,550 MXN,,
0,120 m²,,3,3,1,3,5 años,,"10,000",https://casa.mercadolibre.com.mx/MLM-1301919124-casa-en-renta-3-recamaras-y-3-banos-fracc-cordillera-leon-gto-con-roof-garden-_JM#position=34&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1768755%2C-101.7535881&zoom=16&size=732x300&signature=NpBy_kR6sMxbFeQZYuHfXtMZvqw=,,,550 MXN,,
0,90 m²,,2,1,1,2,15 años,,"4,500",https://casa.mercadolibre.com.mx/MLM-1302445717-casa-en-renta-2-recamaras-y-cochera-cerrada-fracc-las-flores-leon-gto-_JM#position=35&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.100091%2C-101.6129716&zoom=16&size=732x300&signature=u-OVq3VteggILEbuz3-SDSZmNCk=,,,0 MXN,,
0,102 m²,165 m²,4,3,1,,30 años,,"7,000",https://casa.mercadolibre.com.mx/MLM-1302367371-jardines-de-jerez-2da-seccion-_JM#position=36&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.0869024%2C-101.6469549&zoom=16&size=732x300&signature=AcRYgslRJT26Ski8EFo79megpak=,,,,,
0,259.3 m²,160 m²,4,2,4,,30 años,,"13,000",https://casa.mercadolibre.com.mx/MLM-1302356954-andrade-_JM#position=37&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1120499%2C-101.6741095&zoom=16&size=732x300&signature=JX8sKx2TfFIvbQAipl2q5AaK1kM=,,,,,
0,300 m²,225 m²,3,3,2,,6 años,,"12,650",https://casa.mercadolibre.com.mx/MLM-1304484621-casa-en-renta-en-lomas-de-gran-jardin-_JM#position=38&search_layout=stack&type=item&tracking_id=d332341e-38a2-444c-8d02-cc735a055abd,https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=21.1558059%2C-101.7411428&zoom=16&size=732x300&signature=kEdikEM8jetm5uNVHUX_ro3_l-s=,,,,,
